ปี,เทอม,รหัสวิชา,ชื่อไทย,รหัสกลุ่ม,ชื่อภาษาอังกฤษ,ภาควิชา,หน่วยกิต,รายละเอียดวัน-เวลา-ห้องเรียน-อาคาร-ประเภทการสอน,รายละเอียดวิชา,เงื่อนไขรายวิชา,อาจารย์,สอบกลางภาค,สอบปลายภาค,หมายเหตุ,อ้างอิง
2567,1,511100-165,ความรู้พื้นฐานสำหรับแคลคูลัส,1,PRECALCULUS,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:00-13:50 _ ห้องเรียน : ไววิทย์พุทธารี _ อาคาร : วิทย์1 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : ศุกร์ _ เวลา : 10:20-12:05 _ ห้องเรียน : ร.วท.2 _ อาคาร : รวมวิทย์ _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พุธ _ เวลา : 16:40-18:25 _ ห้องเรียน : ไววิทย์พุทธารี _ อาคาร : วิทย์1 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",สมบัติของจำนวนจริง ค่าสัมบูรณ์ อัตราส่วน ร้อยละ การเทียบบัญญัติไตรยางศ์ พหุนาม เศษส่วนของพหุนาม การแก้สมการและอสมการพหุนาม ระบบสมการเชิงเส้น ฟังก์ชัน ฟังก์ชันผกผัน ฟังก์ชันเชิงกำลัง ฟังก์ชันลอการิทึม กราฟของฟังก์ชันพื้นฐาน ทฤษฎีบทพีทาโกรัส ฟังก์ชันตรีโกณมิติ,นักศึกษาต้องสอบผ่านวิชาที่มี [],ผู้ช่วยศาสตราจารย์ ดร.ธรรมธาดา เขมะรัชตกำธรผู้ช่วยศาสตราจารย์ ดร.ธนากร ปริญญาศาสตร์,31 ส.ค. 2567 เวลา 09:00 - 12:00 อาคาร รวมวิทย์ ห้อง ร.วท.1,21 ต.ค. 2567 เวลา 09:00 - 12:00 อาคาร รวมวิทย์ ห้อง ร.วท.1,วิชาบังคับของสาขาคอม สนเทศ ปี 1-3,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=131921&acadyear=2567&semester=1&avs279655917=7
2567,1,511100-165,ความรู้พื้นฐานสำหรับแคลคูลัส,2,PRECALCULUS,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 2 คาบดังนี้ วัน : อาทิตย์ _ เวลา : 08:30-11:10 _ ห้องเรียน : 1232 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : อาทิตย์ _ เวลา : 11:15-12:05 _ ห้องเรียน : 1232 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",สมบัติของจำนวนจริง ค่าสัมบูรณ์ อัตราส่วน ร้อยละ การเทียบบัญญัติไตรยางศ์ พหุนาม เศษส่วนของพหุนาม การแก้สมการและอสมการพหุนาม ระบบสมการเชิงเส้น ฟังก์ชัน ฟังก์ชันผกผัน ฟังก์ชันเชิงกำลัง ฟังก์ชันลอการิทึม กราฟของฟังก์ชันพื้นฐาน ทฤษฎีบทพีทาโกรัส ฟังก์ชันตรีโกณมิติ,นักศึกษาต้องสอบผ่านวิชาที่มี [],ผู้ช่วยศาสตราจารย์ ดร.ธรรมธาดา เขมะรัชตกำธรผู้ช่วยศาสตราจารย์ ดร.ธนากร ปริญญาศาสตร์,31 ส.ค. 2567 เวลา 09:00 - 12:00 อาคาร วิทย์1 ห้อง ไม่มีสอบ,,นักศึกษาที่สอบผ่านตามใบปลดล็อค,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=131921&acadyear=2567&semester=1&avs279655917=7
2567,2,511101-165,แคลคูลัส 1,1,CALCULUS I,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : พุธ _ เวลา : 08:30-10:15 _ ห้องเรียน : 4205 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : ศุกร์ _ เวลา : 10:20-11:10 _ ห้องเรียน : 1239 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : ศุกร์ _ เวลา : 11:15-12:05 _ ห้องเรียน : 1239 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",ลิมิตและความต่อเนื่องของฟังก์ชัน อนุพันธ์ของฟังก์ชันตัวแปรเดียว และการประยุกต์ อนุกรมอนันต์,นักศึกษาต้องสอบผ่านวิชาที่มี [],รองศาสตราจารย์ ดร.สืบสกุล อยู่ยืนยง,22 ม.ค. 2568 เวลา 09:00 - 12:00 อาคาร วิทย์4 ห้อง 4204 ว.4,19 มี.ค. 2568 เวลา 09:00 - 12:00 อาคาร 0 ห้อง กำหนดภายหลัง,วิชาบังคับของสาขาคณิต คณิตประยุกต์ เคมี ฟิสิกส์ ปี1-3,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=130681&acadyear=2567&semester=2&avs279655917=271
2567,1,511103-165,แคลคูลัสสำหรับนักวิทยาศาสตร์ชีวภาพ,1,CALCULUS FOR BIOLOGICAL SCIENTISTS,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:00-13:50 _ ห้องเรียน : 4206 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พุธ _ เวลา : 10:20-12:05 _ ห้องเรียน : ร.วท.1 _ อาคาร : รวมวิทย์ _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : จันทร์ _ เวลา : 13:55-14:45 _ ห้องเรียน : 4206 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",เมทริกซ์และการแก้ระบบสมการเชิงเส้น สมบัติทางพีชคณิตและเรขาคณิตของเวกเตอร์ ความสัมพันธ์และฟังก์ชัน ฟังก์ชันอดิศัย อัตราการเปลี่ยนแปลง อนุพันธ์ ปริพันธ์ พื้นที่ระหว่างเส้นโค้ง อนุกรมเทย์เลอร์และอนุกรมแมคคลอริน สมการเชิงอนุพันธ์อันดับหนึ่งแบบแยกตัวแปรได้และการประยุกต์,นักศึกษาต้องสอบผ่านวิชาที่มี [],รองศาสตราจารย์ ดร.จิตติศักดิ์ รักบุตร,8 ก.ย. 2567 เวลา 09:00 - 12:00 อาคาร รวมวิทย์ ห้อง ร.วท.2,23 ต.ค. 2567 เวลา 09:00 - 12:00 อาคาร วิทย์4 ห้อง 4204 ว.4,วิชาบังคับของสาขาชีวภาพ ปี1-3,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=131061&acadyear=2567&semester=1&avs279655917=542
2567,1,511103-165,แคลคูลัสสำหรับนักวิทยาศาสตร์ชีวภาพ,2,CALCULUS FOR BIOLOGICAL SCIENTISTS,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:00-13:50 _ ห้องเรียน : ร.วท.2 _ อาคาร : รวมวิทย์ _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พุธ _ เวลา : 10:20-12:05 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : จันทร์ _ เวลา : 13:55-14:45 _ ห้องเรียน : ร.วท.2 _ อาคาร : รวมวิทย์ _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",เมทริกซ์และการแก้ระบบสมการเชิงเส้น สมบัติทางพีชคณิตและเรขาคณิตของเวกเตอร์ ความสัมพันธ์และฟังก์ชัน ฟังก์ชันอดิศัย อัตราการเปลี่ยนแปลง อนุพันธ์ ปริพันธ์ พื้นที่ระหว่างเส้นโค้ง อนุกรมเทย์เลอร์และอนุกรมแมคคลอริน สมการเชิงอนุพันธ์อันดับหนึ่งแบบแยกตัวแปรได้และการประยุกต์,นักศึกษาต้องสอบผ่านวิชาที่มี [],ผู้ช่วยศาสตราจารย์ ดร.สิทธิเศรษฐ์ พลเวียงอาจารย์ ดร.ปรีชญา สัญญฑิตย์,8 ก.ย. 2567 เวลา 09:00 - 12:00 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,23 ต.ค. 2567 เวลา 09:00 - 12:00 อาคาร รวมวิทย์ ห้อง ร.วท.1,วิชาบังคับของสาขาเภสัช ปี1-2,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=131061&acadyear=2567&semester=1&avs279655917=542
2567,1,511104-165,แคลคูลัสสำหรับวิศวกร 1,1,CALCULUS FOR ENGINEERS I,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : อังคาร _ เวลา : 10:20-12:05 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 10:20-11:10 _ ห้องเรียน : หอประชุมศูนย์รวม 2 _ อาคาร : หอประชุม _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 11:15-12:05 _ ห้องเรียน : หอประชุมศูนย์รวม 2 _ อาคาร : หอประชุม _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",ลิมิตและความต่อเนื่อง การหาอนุพันธ์และการประยุกต์ในทางวิศวกรรมศาสตร์    ค่าสุดขีดของฟังก์ชัน รูปแบบยังไม่กำหนด กฎโลปิตาล ลำดับและอนุกรมอนันต์ อนุกรมกำลัง อนุกรมเทย์เลอร์และอนุกรมแมคคลอริน,นักศึกษาต้องสอบผ่านวิชาที่มี [],อาจารย์ ดร.ธีระเดช ไหลสุพรรณวงศ์อาจารย์ ดร.ปรีชญา สัญญฑิตย์ผู้ช่วยศาสตราจารย์ ดร.วรรณรัตน์ รุ่งโรจน์ธีระ,31 ส.ค. 2567 เวลา 09:00 - 12:00 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,23 ต.ค. 2567 เวลา 13:30 - 16:30 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,วิชาบังคับของสาขากระบวนการ อิเล็กปี1-3 ไฟฟ้า ปี1-2,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=128951&acadyear=2567&semester=1&avs279655917=544
2567,1,511104-2560,แคลคูลัสสำหรับวิศวกร 1,1,CALCULUS FOR ENGINEERS I,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : อังคาร _ เวลา : 10:20-12:05 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 10:20-11:10 _ ห้องเรียน : หอประชุมศูนย์รวม 2 _ อาคาร : หอประชุม _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 11:15-12:05 _ ห้องเรียน : หอประชุมศูนย์รวม 2 _ อาคาร : หอประชุม _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",ลิมิตและความต่อเนื่อง การหาอนุพันธ์และการประยุกต์ในทางวิศวกรรมศาสตร์    ค่าสุดขีดของฟังก์ชัน รูปแบบยังไม่กำหนด กฎโลปิตาล ลำดับและอนุกรมอนันต์ อนุกรมกำลัง อนุกรมเทย์เลอร์และอนุกรมแมคคลอริน,นักศึกษาต้องสอบผ่านวิชาที่มี [],อาจารย์ ดร.ธีระเดช ไหลสุพรรณวงศ์อาจารย์ ดร.ปรีชญา สัญญฑิตย์ผู้ช่วยศาสตราจารย์ ดร.วรรณรัตน์ รุ่งโรจน์ธีระ,31 ส.ค. 2567 เวลา 09:00 - 12:00 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,23 ต.ค. 2567 เวลา 13:30 - 16:30 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,วิชาบังคับของสาขาปิโตร ว.เคมี การจัดการ กระบวนการ วัสดุ เครื่องกล อุตการ อิเล็ก ปี4-8,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=109384&acadyear=2567&semester=1&avs279655917=545
2567,1,511105-165,แคลคูลัสสำหรับวิศวกรวัสดุ,1,CALCULUS FOR MATERIALS ENGINEERS,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:55-15:40 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 08:30-09:20 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พฤหัสบดี _ เวลา : 09:25-10:15 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",ลิมิตและความต่อเนื่อง การหาอนุพันธ์และการประยุกต์ในทางวิศวกรรมศาสตร์ การหาปริพันธ์ของฟังก์ชันค่าจริง เทคนิคการหาปริพันธ์ การประยุกต์การหาปริพันธ์ในทางวิศวกรรมศาสตร์ สมการเชิงอนุพันธ์เบื้องต้นและการประยุกต์ในทางวิศวกรรมศาสตร์ และพิกัดเชิงขั้ว,นักศึกษาต้องสอบผ่านวิชาที่มี [],อาจารย์ ดร.ธีระเดช ไหลสุพรรณวงศ์,31 ส.ค. 2567 เวลา 13:00 - 16:00 อาคาร วิทย์4 ห้อง 4205 ว.4 31 ส.ค. 2567 เวลา 13:00 - 16:00 อาคาร วิทย์4 ห้อง 4203 ว.4 31 ส.ค. 2567 เวลา 13:00 - 16:00 อาคาร วิทย์4 ห้อง 4204 ว.4,23 ต.ค. 2567 เวลา 13:30 - 16:30 อาคาร วิทย์4 ห้อง 5406 ว.4,วิชาบังคับของสาขาปิโตร วัสดุ ปี1-3,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=131891&acadyear=2567&semester=1&avs279655917=546
2567,1,511106-165,แคลคูลัสสำหรับนักวิทยาศาสตร์ชีวภาพ 1,1,CALCULUS FOR BIOLOGICAL SCIENTISTS I,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:00-13:50 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ), วัน : อังคาร _ เวลา : 13:00-14:45 _ ห้องเรียน : ไววิทย์พุทธารี _ อาคาร : วิทย์1 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : จันทร์ _ เวลา : 12:10-12:55 _ ห้องเรียน : 5406 ว.4 _ อาคาร : วิทย์4 _ ประเภทการสอน: Lecture(ทฤษฏี)",ฟังก์ชันอดิศัย ลิมิตและความต่อเนื่อง การหาอนุพันธ์และการประยุกต์ ปริพันธ์และการประยุกต์ เทคนิคการหาปริพันธ์,นักศึกษาต้องสอบผ่านวิชาที่มี [],ผู้ช่วยศาสตราจารย์ ดร.วรรณรัตน์ รุ่งโรจน์ธีระ,1 ก.ย. 2567 เวลา 09:00 - 12:00 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,23 ต.ค. 2567 เวลา 09:00 - 12:00 อาคาร หอประชุม ห้อง หอประชุมศูนย์รวม 2,วิชาบังคับของสาขาชีวะ แวดล้อม เคมีประยุกต์ อาหาร ปี1-3,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=128797&acadyear=2567&semester=1&avs279655917=547
2567,1,511108-165,แคลคูลัสสำหรับนักวิทยาศาสตร์คณนา 1,1,CALCULUS FOR COMPUTATIONAL SCIENTISTS I,"วิทยาศาสตร์, ภาควิชาคณิตศาสตร์",3 (3-0-6),"เรียนทั้งหมด 3 คาบดังนี้ วัน : จันทร์ _ เวลา : 13:00-13:50 _ ห้องเรียน : ร.วท.1 _ อาคาร : รวมวิทย์ _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : ศุกร์ _ เวลา : 10:20-12:05 _ ห้องเรียน : 1239 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Lecture(ทฤษฏี), วัน : พุธ _ เวลา : 16:40-18:25 _ ห้องเรียน : 1239 ว.1 _ อาคาร : วิทย์1 _ ประเภทการสอน: Tue(ติวแนวข้อสอบ)",ลิมิตและความต่อเนื่อง การหาอนุพันธ์และการประยุกต์ ลำดับและอนุกรมอนันต์ อนุกรมเทย์เลอร์และอนุกรมแมคคลอริน,"นักศึกษาต้องสอบผ่านวิชาที่มี ['511100-165', 'หรือต้องเรียนวิชารหัส 511100-165 ไปพร้อมกัน']",ผู้ช่วยศาสตราจารย์ ดร.สินีนุช สุวรรณาภิชาติ,8 ก.ย. 2567 เวลา 09:00 - 12:00 อาคาร วิทย์4 ห้อง 4205 ว.4,23 ต.ค. 2567 เวลา 09:00 - 12:00 อาคาร วิทย์4 ห้อง 4206 ว.4,วิชาบังคับของสาขาคอมปี 1-3*ตามรายชื่อ*,https://reg3.su.ac.th/registrar/class_info_2.asp?backto=home&option=0&courseid=132082&acadyear=2567&semester=1&avs279655917=549
