Id,Link,Status
517484-165,class_info_2.asp?backto=home&option=0&courseid=132157&acadyear=2567&semester=2&avs451125537=2088,"[<td bgcolor=""#F0F0F5""> W</td>]"
517489-160,class_info_2.asp?backto=home&option=0&courseid=122152&acadyear=2567&semester=2&avs451125537=2090,"[<td bgcolor=""#F0F0F5""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2091,"[<td bgcolor=""#F0F0FF""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2092,"[<td bgcolor=""#F0F0F5""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2093,"[<td bgcolor=""#F0F0FF""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2094,"[<td bgcolor=""#F0F0F5""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2095,"[<td bgcolor=""#F0F0FF""> W</td>]"
517493-2560,class_info_2.asp?backto=home&option=0&courseid=120465&acadyear=2567&semester=2&avs451125537=2096,"[<td bgcolor=""#F0F0F5""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2097,"[<td bgcolor=""#F0F0FF""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2098,"[<td bgcolor=""#F0F0F5""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2100,"[<td bgcolor=""#F0F0F5""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2101,"[<td bgcolor=""#F0F0FF""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2102,"[<td bgcolor=""#F0F0F5""> W</td>]"
517494-2560,class_info_2.asp?backto=home&option=0&courseid=120466&acadyear=2567&semester=2&avs451125537=2103,"[<td bgcolor=""#F0F0FF""> W</td>]"
518101-165,class_info_2.asp?backto=home&option=0&courseid=128913&acadyear=2567&semester=2&avs451125537=2104,"[<td bgcolor=""#F0F0F5""> W</td>]"
518101-2560,class_info_2.asp?backto=home&option=0&courseid=119121&acadyear=2567&semester=2&avs451125537=2105,"[<td bgcolor=""#F0F0FF""> W</td>]"
518102-165,class_info_2.asp?backto=home&option=0&courseid=128914&acadyear=2567&semester=2&avs451125537=2106,"[<td bgcolor=""#F0F0F5""> W</td>]"
518102-165,class_info_2.asp?backto=home&option=0&courseid=128914&acadyear=2567&semester=2&avs451125537=2107,"[<td bgcolor=""#F0F0FF""> W</td>]"
518103-167,class_info_2.asp?backto=home&option=0&courseid=138241&acadyear=2567&semester=2&avs451125537=2108,"[<td bgcolor=""#F0F0F5""> W</td>]"
518201-2560,class_info_2.asp?backto=home&option=0&courseid=109126&acadyear=2567&semester=2&avs451125537=2109,"[<td bgcolor=""#F0F0FF""> W</td>]"
518203-165,class_info_2.asp?backto=home&option=0&courseid=130633&acadyear=2567&semester=2&avs451125537=2111,"[<td bgcolor=""#F0F0FF""> W</td>]"
518205-165,class_info_2.asp?backto=home&option=0&courseid=131644&acadyear=2567&semester=2&avs451125537=2112,"[<td bgcolor=""#F0F0F5""> W</td>]"
518205-2560,class_info_2.asp?backto=home&option=0&courseid=109138&acadyear=2567&semester=2&avs451125537=2113,"[<td bgcolor=""#F0F0FF""> W</td>]"
518206-165,class_info_2.asp?backto=home&option=0&courseid=131645&acadyear=2567&semester=2&avs451125537=2114,"[<td bgcolor=""#F0F0F5""> W</td>]"
518206-165,class_info_2.asp?backto=home&option=0&courseid=131645&acadyear=2567&semester=2&avs451125537=2115,"[<td bgcolor=""#F0F0FF""> W</td>]"
518206-2560,class_info_2.asp?backto=home&option=0&courseid=109139&acadyear=2567&semester=2&avs451125537=2116,"[<td bgcolor=""#F0F0F5""> W</td>]"
518208-165,class_info_2.asp?backto=home&option=0&courseid=131647&acadyear=2567&semester=2&avs451125537=2117,"[<td bgcolor=""#F0F0FF""> W</td>]"
518209-165,class_info_2.asp?backto=home&option=0&courseid=131648&acadyear=2567&semester=2&avs451125537=2118,"[<td bgcolor=""#F0F0F5""> W</td>]"
518212-165,class_info_2.asp?backto=home&option=0&courseid=128917&acadyear=2567&semester=2&avs451125537=2120,"[<td bgcolor=""#F0F0F5""> W</td>]"
518213-165,class_info_2.asp?backto=home&option=0&courseid=128918&acadyear=2567&semester=2&avs451125537=2121,"[<td bgcolor=""#F0F0FF""> W</td>]"
518301-2560,class_info_2.asp?backto=home&option=0&courseid=109141&acadyear=2567&semester=2&avs451125537=2122,"[<td bgcolor=""#F0F0F5""> W</td>]"
518303-165,class_info_2.asp?backto=home&option=0&courseid=128919&acadyear=2567&semester=2&avs451125537=2125,"[<td bgcolor=""#F0F0FF""> W</td>]"
518303-2560,class_info_2.asp?backto=home&option=0&courseid=109143&acadyear=2567&semester=2&avs451125537=2126,"[<td bgcolor=""#F0F0F5""> W</td>]"
518304-165,class_info_2.asp?backto=home&option=0&courseid=128920&acadyear=2567&semester=2&avs451125537=2127,"[<td bgcolor=""#F0F0FF""> W</td>]"
518304-165,class_info_2.asp?backto=home&option=0&courseid=128920&acadyear=2567&semester=2&avs451125537=2128,"[<td bgcolor=""#F0F0F5""> W</td>]"
518304-2560,class_info_2.asp?backto=home&option=0&courseid=109144&acadyear=2567&semester=2&avs451125537=2129,"[<td bgcolor=""#F0F0FF""> W</td>]"
518305-165,class_info_2.asp?backto=home&option=0&courseid=131652&acadyear=2567&semester=2&avs451125537=2130,"[<td bgcolor=""#F0F0F5""> W</td>]"
518305-165,class_info_2.asp?backto=home&option=0&courseid=131652&acadyear=2567&semester=2&avs451125537=2131,"[<td bgcolor=""#F0F0FF""> W</td>]"
518305-165,class_info_2.asp?backto=home&option=0&courseid=131652&acadyear=2567&semester=2&avs451125537=2132,"[<td bgcolor=""#F0F0F5""> W</td>]"
518305-165,class_info_2.asp?backto=home&option=0&courseid=131652&acadyear=2567&semester=2&avs451125537=2133,"[<td bgcolor=""#F0F0FF""> W</td>]"
518306-165,class_info_2.asp?backto=home&option=0&courseid=131653&acadyear=2567&semester=2&avs451125537=2134,"[<td bgcolor=""#F0F0F5""> W</td>]"
518331-165,class_info_2.asp?backto=home&option=0&courseid=128928&acadyear=2567&semester=2&avs451125537=2135,"[<td bgcolor=""#F0F0FF""> W</td>]"
518331-2560,class_info_2.asp?backto=home&option=0&courseid=109163&acadyear=2567&semester=2&avs451125537=2136,"[<td bgcolor=""#F0F0F5""> W</td>]"
518332-165,class_info_2.asp?backto=home&option=0&courseid=128930&acadyear=2567&semester=2&avs451125537=2137,"[<td bgcolor=""#F0F0FF""> W</td>]"
518332-165,class_info_2.asp?backto=home&option=0&courseid=128930&acadyear=2567&semester=2&avs451125537=2139,"[<td bgcolor=""#F0F0FF""> W</td>]"
518332-2560,class_info_2.asp?backto=home&option=0&courseid=109164&acadyear=2567&semester=2&avs451125537=2140,"[<td bgcolor=""#F0F0F5""> W</td>]"
518333-165,class_info_2.asp?backto=home&option=0&courseid=131655&acadyear=2567&semester=2&avs451125537=2143,"[<td bgcolor=""#F0F0FF""> W</td>]"
518337-165,class_info_2.asp?backto=home&option=0&courseid=131656&acadyear=2567&semester=2&avs451125537=2144,"[<td bgcolor=""#F0F0F5""> W</td>]"
518337-2560,class_info_2.asp?backto=home&option=0&courseid=109168&acadyear=2567&semester=2&avs451125537=2145,"[<td bgcolor=""#F0F0FF""> W</td>]"
518339-165,class_info_2.asp?backto=home&option=0&courseid=130634&acadyear=2567&semester=2&avs451125537=2146,"[<td bgcolor=""#F0F0F5""> W</td>]"
518339-2560,class_info_2.asp?backto=home&option=0&courseid=109170&acadyear=2567&semester=2&avs451125537=2147,"[<td bgcolor=""#F0F0FF""> W</td>]"
518345-165,class_info_2.asp?backto=home&option=0&courseid=131659&acadyear=2567&semester=2&avs451125537=2148,"[<td bgcolor=""#F0F0F5""> W</td>]"
518351-2560,class_info_2.asp?backto=home&option=0&courseid=109174&acadyear=2567&semester=2&avs451125537=2149,"[<td bgcolor=""#F0F0FF""> W</td>]"
518421-165,class_info_2.asp?backto=home&option=0&courseid=128941&acadyear=2567&semester=2&avs451125537=2150,"[<td bgcolor=""#F0F0F5""> W</td>]"
518441-2560,class_info_2.asp?backto=home&option=0&courseid=109188&acadyear=2567&semester=2&avs451125537=2151,"[<td bgcolor=""#F0F0FF""> W</td>]"
518451-165,class_info_2.asp?backto=home&option=0&courseid=131664&acadyear=2567&semester=2&avs451125537=2152,"[<td bgcolor=""#F0F0F5""> W</td>]"
518453-165,class_info_2.asp?backto=home&option=0&courseid=131665&acadyear=2567&semester=2&avs451125537=2153,"[<td bgcolor=""#F0F0FF""> W</td>]"
518453-2560,class_info_2.asp?backto=home&option=0&courseid=109190&acadyear=2567&semester=2&avs451125537=2154,"[<td bgcolor=""#F0F0F5""> W</td>]"
518463-2560,class_info_2.asp?backto=home&option=0&courseid=109192&acadyear=2567&semester=2&avs451125537=2155,"[<td bgcolor=""#F0F0FF""> W</td>]"
518491-2560,class_info_2.asp?backto=home&option=0&courseid=109193&acadyear=2567&semester=2&avs451125537=2156,"[<td bgcolor=""#F0F0F5""> W</td>]"
518491-2560,class_info_2.asp?backto=home&option=0&courseid=109193&acadyear=2567&semester=2&avs451125537=2157,"[<td bgcolor=""#F0F0FF""> W</td>]"
518491-2560,class_info_2.asp?backto=home&option=0&courseid=109193&acadyear=2567&semester=2&avs451125537=2158,"[<td bgcolor=""#F0F0F5""> W</td>]"
518494-2560,class_info_2.asp?backto=home&option=0&courseid=109195&acadyear=2567&semester=2&avs451125537=2160,"[<td bgcolor=""#F0F0F5""> W</td>]"
518495-2560,class_info_2.asp?backto=home&option=0&courseid=109196&acadyear=2567&semester=2&avs451125537=2161,"[<td bgcolor=""#F0F0FF""> W</td>]"
518495-2560,class_info_2.asp?backto=home&option=0&courseid=109196&acadyear=2567&semester=2&avs451125537=2162,"[<td bgcolor=""#F0F0F5""> W</td>]"
518496-2560,class_info_2.asp?backto=home&option=0&courseid=109197&acadyear=2567&semester=2&avs451125537=2163,"[<td bgcolor=""#F0F0FF""> W</td>]"
519201-165,class_info_2.asp?backto=home&option=0&courseid=131290&acadyear=2567&semester=2&avs451125537=2164,"[<td bgcolor=""#F0F0F5""> W</td>]"
519211-2560,class_info_2.asp?backto=home&option=0&courseid=111934&acadyear=2567&semester=2&avs451125537=2165,"[<td bgcolor=""#F0F0FF""> W</td>]"
519231-165,class_info_2.asp?backto=home&option=0&courseid=131239&acadyear=2567&semester=2&avs451125537=2166,"[<td bgcolor=""#F0F0F5""> W</td>]"
519251-165,class_info_2.asp?backto=home&option=0&courseid=131240&acadyear=2567&semester=2&avs451125537=2167,"[<td bgcolor=""#F0F0FF""> W</td>]"
519311-2560,class_info_2.asp?backto=home&option=0&courseid=111936&acadyear=2567&semester=2&avs451125537=2168,"[<td bgcolor=""#F0F0F5""> W</td>]"
519312-2560,class_info_2.asp?backto=home&option=0&courseid=111938&acadyear=2567&semester=2&avs451125537=2169,"[<td bgcolor=""#F0F0FF""> W</td>]"
519341-165,class_info_2.asp?backto=home&option=0&courseid=131243&acadyear=2567&semester=2&avs451125537=2170,"[<td bgcolor=""#F0F0F5""> W</td>]"
519341-2560,class_info_2.asp?backto=home&option=0&courseid=111939&acadyear=2567&semester=2&avs451125537=2171,"[<td bgcolor=""#F0F0FF""> W</td>]"
519351-2560,class_info_2.asp?backto=home&option=0&courseid=111962&acadyear=2567&semester=2&avs451125537=2172,"[<td bgcolor=""#F0F0F5""> W</td>]"
519363-165,class_info_2.asp?backto=home&option=0&courseid=131247&acadyear=2567&semester=2&avs451125537=2173,"[<td bgcolor=""#F0F0FF""> W</td>]"
519364-165,class_info_2.asp?backto=home&option=0&courseid=131248&acadyear=2567&semester=2&avs451125537=2174,"[<td bgcolor=""#F0F0F5""> W</td>]"
